Type,Notes,Distance (km) From Start,Elevation (m),Description,Edited
Start,Start of route,0,0,,
Right,Tournez à droite sur Boulevard du Collège,0.07,289.70,,Edited
Danger,sign_01,0.07,289.70,terre_plein,Edited
Left,Tournez à gauche sur Rue Tardif,0.16,285.50,,Edited
Left,Tournez à gauche sur Avenue Laliberté,0.86,282.40,,Edited
Right,Tournez à droite sur Rue Marie-Victorin,0.96,278.10,,Edited
Right,Tournez à droite sur Rue Perreault Est,2.68,293.50,,Edited
Left,"Tournez à gauche sur 117 - Voie de contournement, 117",4.04,295.30,,Edited
Control,sign_02,4.04,295.30,virage,Edited
Danger,sign_03,8.82,312.40,terre_plein,Edited
Control,sign_08,8.98,312.70,control,Edited
Slight Right,"Restez sur la droite sur Rue du Saguenay, 101",9.00,312.30,,Edited
Right,Tournez à droite sur Route D'Aiguebelle,21.00,303.00,,Edited
Control,sign_04,21.00,303.00,virage,Edited
Danger,sign_05,33.82,273.50,terre_plein,Edited
Left,Tournez à gauche sur Route D'Aiguebelle,44.88,289.00,,Edited
Right,Tournez à droite sur Rue Principale,46.16,285.40,,Edited
Danger,sign_06,46.18,283.00,terre_plein,Edited
Danger,sign_07,54.64,282.00,terre_plein,Edited
Danger,sign_09,75.10,303.20,terre_plein,Edited
Danger,sign_10,77.46,309.80,terre_plein,Edited
Sharp Right,"Tournez fort à droite sur Chemin des Pionniers, 390",87.80,314.00,,Edited
Control,sign_11,87.80,314.00,virage,Edited
Left,"Tournez à gauche sur Rue Principale, 390",89.05,307.50,,Edited
Control,sign_12,89.23,306.00,virage,Edited
Right,"Tournez à droite sur Avenue Privat, 111",89.24,305.90,,Edited
Danger,sign_13,112.65,312.60,danger,Edited
Straight,Continuez sur 1re Avenue Ouest,134.77,315.70,,Edited
Control,sign_14,134.77,315.70,intersection,Edited
Danger,sign_15,135.27,299.90,terre_plein,Edited
Control,sign_16,135.45,296.70,virage,Edited
Left,Tournez à gauche sur Boulevard Mercier,135.46,297.72,,Edited
Right,Tournez à droite sur 2e Avenue Ouest,135.56,296.40,,Edited
Left,Tournez à gauche sur 1re Rue Ouest,135.79,307.30,,Edited
Right,Tournez à droite sur 5e Avenue Ouest,136.19,300.80,,Edited
Right,Tournez à droite sur Rue Principale Nord,136.37,304.10,,Edited
Danger,sign_17,136.70,306.40,control,Edited
End,End of route,136.71,306.30,
