Bib,Coureur,Equipe,E1,E2,E3,E4,E5,E6,E7,General,Points,GPM/KOM,Jeune,Abitibien,Total
31,"CHE, Alejandro",USA,75,145,30,60,90,255,255,150,80,0,80,0,1220
22,"NEY, Matthew",Canada,30,75,145,145,75,110,0,400,40,0,0,0,1020
26,"HINSE, Jonathan",Canada,30,255,45,75,145,0,75,95,60,0,60,0,840
12,"PICARD, Paul",France,145,110,45,30,30,90,110,115,0,0,0,0,675
23,"POWELL, Ethan",Canada,255,30,110,0,0,75,0,200,0,0,0,0,670
34,"BUDD, Caden",USA,30,75,30,45,255,0,0,95,0,0,40,0,570
42,"NAGASHIMA, Satoaki",Japon,110,0,30,45,110,75,145,45,0,0,0,0,560
21,"BOUCHARD, Alexis",Canada,75,90,45,45,0,0,30,95,0,80,0,0,460
45,"MOCHIZUKI, Ren",Japon,0,75,30,110,0,145,0,95,0,0,0,0,455
65,"TRUFFER, Carl",Équipe Subway,75,75,60,45,75,0,75,45,0,0,0,0,450
124,"SCHROEDER, Dylan",North Star Development Cycling,90,30,75,30,75,0,90,45,0,0,0,0,435
32,"CUSACK, Nathan",USA,0,75,0,45,30,75,30,45,0,60,0,0,360
51,"ROY, Justin",Équipe du Québec,75,30,0,30,75,30,30,45,0,0,0,0,315
62,"BLAIS, Christophe",Équipe Subway,0,0,0,30,75,30,0,0,0,0,0,150,285
103,"MCMULLEN, Jayden",KW Cycling Academy,75,30,0,0,75,30,75,0,0,0,0,0,285
91,"HARRIS, Patrick",Ignite JR Cycling,0,30,45,0,0,75,0,95,0,0,0,0,245
53,"DUARTE, Filipe",Équipe du Québec,0,30,0,30,30,30,75,45,0,0,0,0,240
81,"GIAMMARELLA, Adamo",Club ZVP Opto-Réseau,0,75,45,0,0,0,0,95,0,0,0,0,215
123,"HALVERSON, James",North Star Development Cycling,30,0,0,30,0,30,75,0,0,0,0,0,165
63,"LANOIX, Solstice",Équipe Subway,75,0,0,45,0,30,0,0,0,0,0,0,150
43,"TSUJI, Konosuke",Japon,30,0,0,0,0,75,30,0,0,0,0,0,135
112,"SMITH, ADAM",Team Manitoba,0,0,0,0,30,75,30,0,0,0,0,0,135
11,"IRIBARNE , Kayet",France,0,0,0,30,0,30,30,0,0,40,0,0,130
15,"PANCHE, Maxime",France,30,0,0,30,30,0,30,0,0,0,0,0,120
101,"ENGEL, Otis",KW Cycling Academy,0,30,30,0,0,0,0,45,0,0,0,0,105
36,"ABRAHAMS, Ian",USA,0,0,0,30,30,30,0,0,0,0,0,0,90
114,"DALLING, EWAN",Team Manitoba,0,0,30,0,30,0,30,0,0,0,0,0,90
115,"HARTLE, TYLER",Team Manitoba,30,0,0,0,30,0,30,0,0,0,0,0,90
13,"DAUGE, Luk",France,0,30,0,0,0,0,0,45,0,0,0,0,75
52,"FERGUSON, Elyot",Équipe du Québec,0,30,0,0,0,0,0,45,0,0,0,0,75
83,"CORBEIL, Maxime",Club ZVP Opto-Réseau,0,30,0,0,0,0,0,45,0,0,0,0,75
135,"DARR, Cullen",Vantaggio Fitness and Nutrition,0,0,0,0,0,0,75,0,0,0,0,0,75
16,"DUCLOS LASSALLE, Hugo",France,0,0,0,0,30,30,0,0,0,0,0,0,60
102,"TAYLOR, Albert",KW Cycling Academy,0,0,45,0,0,0,0,0,0,0,0,0,45
24,"BEGIN, Mathis",Canada,0,0,30,0,0,0,0,0,0,0,0,0,30
33,"RUHE, Julien",USA,0,0,0,0,0,30,0,0,0,0,0,0,30
35,"MEDINA GARZON, Joaquin",USA,0,0,0,30,0,0,0,0,0,0,0,0,30
41,"WATANABE, Ikki",Japon,0,0,30,0,0,0,0,0,0,0,0,0,30
55,"MARTINS, Henrique",Équipe du Québec,30,0,0,0,0,0,0,0,0,0,0,0,30
56,"SEGUIN, Gabriel",Équipe du Québec,0,0,30,0,0,0,0,0,0,0,0,0,30
84,"PULCINA, Noah",Club ZVP Opto-Réseau,30,0,0,0,0,0,0,0,0,0,0,0,30
85,"OUELLETTE, Maxime",Club ZVP Opto-Réseau,30,0,0,0,0,0,0,0,0,0,0,0,30
92,"FRY, Nathanael",Ignite JR Cycling,0,0,0,0,30,0,0,0,0,0,0,0,30
111,"RITTER, CARSON",Team Manitoba,0,0,0,0,0,0,30,0,0,0,0,0,30
133,"ST. ANDRE, Alexander",Vantaggio Fitness and Nutrition,0,0,30,0,0,0,0,0,0,0,0,0,30
