Position,Bib,TempsGeneral,ApresEtape
1,23,2:39:46,1
2,12,2:39:50,1
3,26,2:39:51,1
4,42,2:39:52,1
5,51,2:39:53,1
6,21,2:39:54,1
7,15,2:39:54,1
8,124,2:39:56,1
9,31,2:39:56,1
10,65,2:39:56,1
11,103,2:39:56,1
12,63,2:39:56,1
13,34,2:39:56,1
14,123,2:39:56,1
15,43,2:39:56,1
16,85,2:39:56,1
17,84,2:39:56,1
18,115,2:39:56,1
19,22,2:39:56,1
20,55,2:39:56,1
21,134,2:39:56,1
22,114,2:39:56,1
23,132,2:39:56,1
24,52,2:39:56,1
25,82,2:39:56,1
26,53,2:39:56,1
27,135,2:39:56,1
28,112,2:39:56,1
29,16,2:39:56,1
30,46,2:39:56,1
31,101,2:39:56,1
32,86,2:39:56,1
33,92,2:39:56,1
34,83,2:39:56,1
35,73,2:39:56,1
36,62,2:39:56,1
37,111,2:39:56,1
38,36,2:39:56,1
39,71,2:39:56,1
40,91,2:39:56,1
41,81,2:39:56,1
42,64,2:39:56,1
43,133,2:39:56,1
44,41,2:39:56,1
45,93,2:39:56,1
46,136,2:39:56,1
47,24,2:39:56,1
48,11,2:39:56,1
49,116,2:39:56,1
50,14,2:39:56,1
51,32,2:39:56,1
52,33,2:40:09,1
53,75,2:40:09,1
54,13,2:40:16,1
55,121,2:40:37,1
56,45,2:40:56,1
57,61,2:41:25,1
58,44,2:42:11,1
59,35,2:42:40,1
60,113,2:43:30,1
61,72,2:45:49,1
62,125,2:46:39,1
63,106,2:47:38,1
64,105,2:47:38,1
65,74,2:47:57,1
66,102,2:49:18,1
67,95,2:49:18,1
68,131,2:50:59,1
69,122,2:53:52,1
70,56,3:07:19,1
