Position,Bib,TempsEtape,Etape
1,31,2:39:56,1
2,65,2:39:56,1
3,103,2:39:56,1
4,34,2:39:56,1
5,26,2:39:56,1
6,123,2:39:56,1
7,43,2:39:56,1
8,84,2:39:56,1
9,134,2:39:56,1
10,132,2:39:56,1
11,82,2:39:56,1
12,53,2:39:56,1
13,135,2:39:56,1
14,112,2:39:56,1
15,16,2:39:56,1
16,46,2:39:56,1
17,101,2:39:56,1
18,86,2:39:56,1
19,45,2:40:56,1
20,92,2:39:56,1
21,83,2:39:56,1
22,73,2:39:56,1
23,64,2:39:56,1
24,93,2:39:56,1
25,116,2:39:56,1
26,14,2:39:56,1
27,75,2:40:09,1
28,61,2:41:25,1
29,44,2:42:11,1
30,35,2:42:40,1
31,125,2:46:39,1
32,72,2:45:49,1
33,106,2:47:38,1
34,105,2:47:38,1
35,74,2:47:57,1
36,102,2:49:18,1
37,95,2:49:18,1
38,122,2:53:52,1
39,56,3:07:19,1
1,26,2:46:33,2
2,31,2:46:33,2
3,65,2:46:33,2
4,45,2:46:33,2
5,34,2:46:33,2
6,53,2:46:33,2
7,101,2:46:33,2
8,83,2:46:33,2
9,103,2:48:54,2
10,102,2:48:54,2
11,123,2:48:54,2
12,135,2:48:54,2
13,82,2:48:54,2
14,43,2:48:54,2
15,112,2:48:54,2
16,16,2:48:54,2
17,35,2:48:54,2
18,134,2:48:54,2
19,61,2:48:54,2
20,92,2:48:54,2
21,84,2:48:54,2
22,14,2:48:54,2
23,125,2:48:54,2
24,86,2:48:54,2
25,64,2:48:54,2
26,46,2:48:54,2
27,44,2:48:54,2
28,93,2:48:54,2
29,73,2:48:54,2
30,56,2:49:05,2
31,72,2:49:05,2
32,105,2:49:05,2
33,106,2:49:05,2
34,74,2:49:10,2
35,75,2:49:13,2
36,95,2:49:13,2
37,132,2:50:25,2
38,116,2:57:52,2
39,122,3:01:29,2
1,65,0:13:27.170,3
2,26,0:13:33.560,3
3,102,0:13:35.610,3
4,45,0:13:43.430,3
5,34,0:13:45.850,3
6,31,0:13:53.050,3
7,101,0:13:54.000,3
8,56,0:13:54.330,3
9,83,0:13:56.070,3
10,43,0:13:56.470,3
11,35,0:13:57.480,3
12,93,0:14:00.510,3
13,103,0:14:06.130,3
14,46,0:14:11.840,3
15,53,0:14:14.420,3
16,86,0:14:22.600,3
17,132,0:14:23.840,3
18,123,0:14:24.530,3
19,112,0:14:27.010,3
20,134,0:14:27.640,3
21,82,0:14:28.770,3
22,92,0:14:34.520,3
23,72,0:14:34.770,3
24,75,0:14:38.440,3
25,16,0:14:45.810,3
26,84,0:14:55.130,3
27,44,0:14:58.480,3
28,14,0:15:01.430,3
29,105,0:15:07.640,3
30,125,0:15:20.330,3
31,61,0:15:22.370,3
32,122,0:15:24.630,3
33,64,0:15:31.800,3
34,74,0:15:34.690,3
35,73,0:15:38.220,3
36,95,0:15:46.460,3
37,135,0:15:51.840,3
38,106,0:15:56.810,3
39,116,0:16:11.310,3
1,45,1:12:27,4
2,26,1:12:27,4
3,31,1:12:27,4
4,65,1:12:27,4
5,34,1:12:27,4
6,35,1:12:27,4
7,123,1:12:27,4
8,53,1:12:27,4
9,112,1:12:27,4
10,46,1:12:27,4
11,135,1:12:27,4
12,16,1:12:27,4
13,82,1:12:27,4
14,116,1:12:27,4
15,103,1:12:27,4
16,14,1:12:27,4
17,93,1:12:27,4
18,125,1:12:27,4
19,132,1:12:27,4
20,92,1:12:27,4
21,105,1:12:27,4
22,134,1:12:27,4
23,106,1:12:27,4
24,102,1:12:27,4
25,101,1:12:27,4
26,95,1:12:27,4
27,64,1:12:27,4
28,84,1:12:27,4
29,56,1:12:27,4
30,86,1:12:27,4
31,83,1:12:44,4
32,61,1:12:44,4
33,44,1:12:44,4
34,72,1:12:44,4
35,74,1:12:44,4
36,73,1:12:44,4
37,75,1:12:44,4
38,122,1:12:51,4
39,43,1:14:27,4
1,34,2:34:49,5
2,26,2:34:53,5
3,31,2:34:53,5
4,65,2:34:53,5
5,103,2:34:53,5
6,53,2:34:53,5
7,92,2:34:53,5
8,112,2:34:53,5
9,16,2:34:53,5
10,93,2:34:53,5
11,43,2:34:53,5
12,46,2:34:53,5
13,45,2:34:53,5
14,101,2:34:53,5
15,116,2:34:53,5
16,44,2:34:53,5
17,134,2:34:53,5
18,82,2:34:53,5
19,83,2:34:53,5
20,102,2:34:53,5
21,72,2:34:53,5
22,86,2:34:53,5
23,105,2:34:53,5
24,125,2:34:53,5
25,84,2:34:53,5
26,132,2:34:53,5
27,122,2:34:53,5
28,123,2:34:53,5
29,61,2:34:53,5
30,135,2:34:53,5
31,64,2:35:10,5
32,14,2:35:13,5
33,73,2:35:13,5
34,56,2:35:16,5
35,95,2:35:23,5
36,35,2:35:28,5
37,75,2:35:35,5
38,74,2:35:39,5
39,106,2:36:54,5
